RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId", "Missing: holdingsRecordId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId", "Missing: holdingsRecordId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: materialTypeId", "Missing: permanentLoanTypeId"]
RECORD FAILED	000000950000010	One or many required properties empty	["Missing: permanentLoanTypeId"]
RECORD FAILED	000000951000010	One or many required properties empty	["Missing: permanentLoanTypeId"]
